SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"7832","PRINCE HALL HEAD START","PRINCE HALL HEAD START","GRATZ & GODFREY AVE","19141",,"PHILADELPHIA","PA","2159273544","PK","PK",,"EARLY CHILDHOOD"
"2492","WARING HEAD START","WARING HEAD START","1801 GREEN ST.","19130",,"PHILADELPHIA","PA","2156848943","PK","PK",,"EARLY CHILDHOOD"
"8831","FITZPATRICK BRIGHT FUTURES","FITZPATRICK BRIGHT FUTURES","KNIGHTS ROAD & CHALFONT DRIVE","19154",,"PHILADELPHIA","PA","2156327775","PK","PK",,"EARLY CHILDHOOD"
"8835","LOESCHE BRIGHT FUTURES","LOESCHE BRIGHT FUTURES","TOMLINSON AND BUSTLETON AVES.","19116",,"PHILADELPHIA","PA","2156771739","PK","PK",,"EARLY CHILDHOOD"
"517P","DEBURGOS HEAD START","DEBURGOS HEAD START","401 W. LEHIGH AVE.","19133",,"PHILADELPHIA","PA","2152915196","PK","PK",,"EARLY CHILDHOOD"
"272P","ABIGAIL VARE HEAD START","VARE, ABIGAIL HEAD START","1621 E. MOYAMENSING AVE.","19148",,"PHILADELPHIA","PA","2159526376","PK","PK",,"EARLY CHILDHOOD"
"128P","PENN/ALEXANDER HEAD START","PENN/ALEXANDER HEAD START","4243 SPRUCE ST.","19104",,"PHILADELPHIA","PA","2158235290","PK","PK",,"EARLY CHILDHOOD"
"8401","ANNE FRANK HEAD START","FRANK, ANNE HEAD START","2000 BOWLER ST.","19115",,"PHILADELPHIA","PA","2159612125","PK","PK",,"EARLY CHILDHOOD"
"2489","BROAD STREET HEAD START","BROAD STREET HEAD START","6233 N. BROAD ST.","19141",,"PHILADELPHIA","PA","2152762754","PK","PK",,"EARLY CHILDHOOD"
"7515","BETHUNE HEAD START","BETHUNE HEAD START","3301 OLD YORK RD.","19140",,"PHILADELPHIA","PA","2152274779","PK","PK",,"EARLY CHILDHOOD"
"4408","STANTON, M.H. HEAD START","STANTON, M.H. HEAD START","2539 N. 16TH ST.","19132",,"PHILADELPHIA","PA","2152291899","PK","PK",,"EARLY CHILDHOOD"
"4451","LESLIE P. HILL HEAD START","HILL, LESLIE P. HEAD START","3133 RIDGE AVE.","19131",,"PHILADELPHIA","PA","2156848940","PK","PK",,"EARLY CHILDHOOD"
"4463","DUCKREY HEAD START","DUCKREY HEAD START","1501 W. DIAMOND ST.","19121",,"PHILADELPHIA","PA","2159784758","PK","PK",,"EARLY CHILDHOOD"
"4513","YOUNG SCHOLARS-DOUGLASS HD ST","YOUNG SCHOLARS-DOUGLASS HD ST","2118 W. NORRIS ST.","19121",,"PHILADELPHIA","PA","2156848992","PK","PK",,"EARLY CHILDHOOD"
"4535","GIDEON HEAD START","GIDEON HEAD START","2817 W. GLENWOOD AVE.","19121",,"PHILADELPHIA","PA","2157630793","PK","PK",,"EARLY CHILDHOOD"
"4561","WILLIAM D. KELLEY HEAD START","KELLEY, WILLIAM D. HEAD START","1601 N. 28TH ST.","19121",,"PHILADELPHIA","PA","2157656363","PK","PK",,"EARLY CHILDHOOD"
"4572","MEADE HEAD START","MEADE HEAD START","1600 N. 18TH ST.","19121",,"PHILADELPHIA","PA","2152326137","PK","PK",,"EARLY CHILDHOOD"
"4272","WILLIAM DICK HEAD START","DICK, WILLIAM HEAD START","2498 W. DIAMOND ST.","19121",,"PHILADELPHIA","PA","2152367145","PK","PK",,"EARLY CHILDHOOD"
"4309","HESTON HEAD START","HESTON HEAD START","1621 N. 54TH ST.","19131",,"PHILADELPHIA","PA","2154730840","PK","PK",,"EARLY CHILDHOOD"
